,premise,hypothesis,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes,prompt,entailment_prob,neutral_prob,contradiction_prob,prediction,entailment_prob_chat,neutral_prob_chat,contradiction_prob_chat,prediction_chat
137,Nicole did not sprint to the restaurant.,Nicole ran to the restaurant.,1,0,implicature_NtoP,target,verb,ran - sprinted,Nicole did not sprint to the restaurant. Nicole ran to the restaurant.,tensor(-11.2305),tensor(-8.9775),tensor(-9.3211),1,tensor(-10.9993),tensor(-8.9195),tensor(-8.4103),2
138,Natalie went towards college campuses.,Natalie did not get to college campuses.,1,0,implicature_PtoN,target,verb,went towards - got to,Natalie went towards college campuses. Natalie did not get to college campuses.,tensor(-11.5065),tensor(-9.8328),tensor(-10.0406),1,tensor(-10.5935),tensor(-8.3010),tensor(-8.8133),1
139,Dana sprinted to this museum.,Dana ran to this museum.,0,2,reverse negated implicature_P,target,verb,ran - sprinted,Dana sprinted to this museum. Dana ran to this museum.,tensor(-11.7131),tensor(-10.0952),tensor(-10.8675),1,tensor(-11.6091),tensor(-9.7962),tensor(-10.5935),1
140,Patricia tried to embarrass Bradley.,Patricia managed to embarrass Bradley.,1,2,negated implicature_P,target,verb,tried - managed,Patricia tried to embarrass Bradley. Patricia managed to embarrass Bradley.,tensor(-11.1494),tensor(-10.3246),tensor(-10.6415),1,tensor(-9.6048),tensor(-8.7727),tensor(-8.8119),1
141,Martin got to this school.,Martin went towards this school.,0,2,reverse negated implicature_P,target,verb,went towards - got to,Martin got to this school. Martin went towards this school.,tensor(-11.1632),tensor(-10.0096),tensor(-10.8713),1,tensor(-11.2160),tensor(-9.8011),tensor(-10.7165),1
142,Chad did not get to this high school.,Chad did not go towards this high school.,1,2,negated implicature_N,target,verb,went towards - got to,Chad did not get to this high school. Chad did not go towards this high school.,tensor(-12.0529),tensor(-11.1469),tensor(-11.4138),1,tensor(-10.5286),tensor(-9.6562),tensor(-8.7504),2
143,William did not manage to dislike Kristen.,William did not try to dislike Kristen.,1,2,negated implicature_N,target,verb,tried - managed,William did not manage to dislike Kristen. William did not try to dislike Kristen.,tensor(-11.1585),tensor(-9.7518),tensor(-9.9865),1,tensor(-11.3911),tensor(-10.1789),tensor(-10.1517),2
144,Martha got to the public park.,Martha did not go towards the public park.,2,2,opposite,control,verb,went towards - got to,Martha got to the public park. Martha did not go towards the public park.,tensor(-10.7125),tensor(-10.4679),tensor(-10.3592),2,tensor(-10.2530),tensor(-9.7718),tensor(-8.5263),2
145,Margaret did not go towards that hill.,Margaret got to that hill.,2,2,opposite,control,verb,went towards - got to,Margaret did not go towards that hill. Margaret got to that hill.,tensor(-10.8562),tensor(-10.3214),tensor(-10.3973),1,tensor(-10.5080),tensor(-9.3992),tensor(-8.6115),2
146,Beverly did not go towards restaurants.,Beverly got to restaurants.,2,2,opposite,control,verb,went towards - got to,Beverly did not go towards restaurants. Beverly got to restaurants.,tensor(-10.9952),tensor(-9.5003),tensor(-9.7719),1,tensor(-11.1834),tensor(-9.4816),tensor(-9.0916),2
147,Actors tried to smile.,Actors did not try to smile.,2,2,negation,control,verb,tried - managed,Actors tried to smile. Actors did not try to smile.,tensor(-10.9179),tensor(-8.7918),tensor(-9.0274),1,tensor(-10.8929),tensor(-8.6568),tensor(-9.5650),1
148,Melissa managed to cure Jesus.,Melissa tried to cure Jesus.,0,2,reverse negated implicature_P,target,verb,tried - managed,Melissa managed to cure Jesus. Melissa tried to cure Jesus.,tensor(-11.6479),tensor(-10.2003),tensor(-10.3979),1,tensor(-11.9094),tensor(-9.4889),tensor(-9.0617),2
149,Andrew ran to that hill.,Andrew sprinted to that hill.,1,2,negated implicature_P,target,verb,ran - sprinted,Andrew ran to that hill. Andrew sprinted to that hill.,tensor(-11.4943),tensor(-10.2876),tensor(-10.5198),1,tensor(-10.4483),tensor(-10.0195),tensor(-10.2585),1
150,Three companies appreciate a lot of guests.,Two companies don't appreciate a lot of guests.,2,2,opposite,control,numeral_two-three,two - three,Three companies appreciate a lot of guests. Two companies don't appreciate a lot of guests.,tensor(-10.9038),tensor(-9.1465),tensor(-9.1967),1,tensor(-9.7789),tensor(-9.4797),tensor(-8.5575),2
151,Janice could have three cats.,Janice couldn't have three cats.,2,2,negation,control,numeral_two-three,two - three,Janice could have three cats. Janice couldn't have three cats.,tensor(-9.7791),tensor(-9.9617),tensor(-9.2912),2,tensor(-9.9268),tensor(-9.7108),tensor(-8.5575),2
152,Two pedestrians question Margaret.,Two pedestrians don't question Margaret.,2,2,negation,control,numeral_two-three,two - three,Two pedestrians question Margaret. Two pedestrians don't question Margaret.,tensor(-10.7161),tensor(-9.7001),tensor(-9.8519),1,tensor(-10.2705),tensor(-8.2787),tensor(-8.6104),1
153,Meredith didn't sound like three banks.,Meredith sounded like three banks.,2,2,negation,control,numeral_two-three,two - three,Meredith didn't sound like three banks. Meredith sounded like three banks.,tensor(-11.5396),tensor(-9.5527),tensor(-10.4239),1,tensor(-10.9255),tensor(-9.0994),tensor(-9.9252),1
154,Jane doesn't ascend three slopes.,Jane doesn't ascend two slopes.,1,1,no_impl,target,numeral_two-three,two - three,Jane doesn't ascend three slopes. Jane doesn't ascend two slopes.,tensor(-9.4271),tensor(-9.2337),tensor(-8.6604),2,tensor(-8.5326),tensor(-8.6968),tensor(-7.1802),2
155,The sketch wasn't looking like three spotlights.,The sketch was looking like three spotlights.,2,2,negation,control,numeral_two-three,two - three,The sketch wasn't looking like three spotlights. The sketch was looking like three spotlights.,tensor(-11.1601),tensor(-9.1973),tensor(-9.4391),1,tensor(-10.8778),tensor(-8.7786),tensor(-9.4185),1
156,Two girls haven't interacted.,Three girls haven't interacted.,0,1,no_impl,target,numeral_two-three,two - three,Two girls haven't interacted. Three girls haven't interacted.,tensor(-11.1068),tensor(-9.5257),tensor(-9.7103),1,tensor(-9.4245),tensor(-8.5969),tensor(-9.2359),1
157,Three doctors didn't complain.,Two doctors should complain.,1,1,no_impl,target,numeral_two-three,two - three,Three doctors didn't complain. Two doctors should complain.,tensor(-11.2129),tensor(-9.7898),tensor(-10.3126),1,tensor(-10.0983),tensor(-8.7285),tensor(-7.6542),2
158,Three adults have predicted Laurie to insult Danielle.,Two adults have predicted Laurie to insult Danielle.,0,2,reverse negated implicature_P,target,numeral_two-three,two - three,Three adults have predicted Laurie to insult Danielle. Two adults have predicted Laurie to insult Danielle.,tensor(-10.4700),tensor(-8.8918),tensor(-10.0333),1,tensor(-9.5898),tensor(-8.7294),tensor(-9.2695),1
159,Three teenagers don't clean many libraries.,Two teenagers clean many libraries.,1,1,no_impl,target,numeral_two-three,two - three,Three teenagers don't clean many libraries. Two teenagers clean many libraries.,tensor(-10.9589),tensor(-10.3108),tensor(-10.3586),1,tensor(-9.8163),tensor(-8.7680),tensor(-8.0291),2
160,The boys don't reference two reports.,The boys reference three reports.,2,2,opposite,control,numeral_two-three,two - three,The boys don't reference two reports. The boys reference three reports.,tensor(-10.8369),tensor(-9.1995),tensor(-9.1607),2,tensor(-10.2736),tensor(-9.2626),tensor(-8.6983),2
161,Two women have explained everything.,Two women hadn't explained everything.,2,2,negation,control,numeral_two-three,two - three,Two women have explained everything. Two women hadn't explained everything.,tensor(-10.4959),tensor(-9.6565),tensor(-9.0786),2,tensor(-10.0332),tensor(-9.5271),tensor(-8.2486),2
162,Those girls distracts three girls.,Those girls distracts two girls.,0,2,reverse negated implicature_P,target,numeral_two-three,two - three,Those girls distracts three girls. Those girls distracts two girls.,tensor(-10.1570),tensor(-9.2172),tensor(-9.8109),1,tensor(-9.1531),tensor(-8.1818),tensor(-8.3434),1
163,Three pedestrians question Margaret.,Three pedestrians don't question Margaret.,2,2,negation,control,numeral_two-three,two - three,Three pedestrians question Margaret. Three pedestrians don't question Margaret.,tensor(-10.4848),tensor(-9.6561),tensor(-9.7630),1,tensor(-10.0852),tensor(-8.2983),tensor(-8.5007),1
164,Eric hadn't admired two guests.,Eric had admired two guests.,2,2,negation,control,numeral_two-three,two - three,Eric hadn't admired two guests. Eric had admired two guests.,tensor(-10.6495),tensor(-9.7296),tensor(-10.2650),1,tensor(-9.9275),tensor(-8.8554),tensor(-9.2632),1
165,Lissa is dropping by three hills.,Lissa isn't dropping by three hills.,2,2,negation,control,numeral_two-three,two - three,Lissa is dropping by three hills. Lissa isn't dropping by three hills.,tensor(-10.6840),tensor(-10.1173),tensor(-10.3453),1,tensor(-10.2730),tensor(-9.2158),tensor(-7.8263),2
166,Joel didn't observe two doctors.,Joel observed two doctors.,2,2,negation,control,numeral_two-three,two - three,Joel didn't observe two doctors. Joel observed two doctors.,tensor(-11.5912),tensor(-9.9563),tensor(-10.1178),1,tensor(-10.2144),tensor(-9.2657),tensor(-8.3379),2
167,Two actresses don't go fishing.,Two actresses go fishing.,2,2,negation,control,numeral_two-three,two - three,Two actresses don't go fishing. Two actresses go fishing.,tensor(-11.1566),tensor(-10.2033),tensor(-10.0269),2,tensor(-10.9570),tensor(-9.9683),tensor(-9.1757),2
168,Lissa is dropping by two hills.,Lissa is dropping by three hills.,1,2,negated implicature_P,target,numeral_two-three,two - three,Lissa is dropping by two hills. Lissa is dropping by three hills.,tensor(-10.8024),tensor(-9.7543),tensor(-10.3613),1,tensor(-10.3529),tensor(-9.0251),tensor(-9.5629),1
169,Two companies appreciate a lot of guests.,Three companies don't appreciate a lot of guests.,1,0,implicature_PtoN,target,numeral_two-three,two - three,Two companies appreciate a lot of guests. Three companies don't appreciate a lot of guests.,tensor(-10.9766),tensor(-9.0752),tensor(-9.3287),1,tensor(-10.0031),tensor(-9.0619),tensor(-8.6020),2
170,Three drivers fall asleep.,Three drivers don't fall asleep.,2,2,negation,control,numeral_two-three,two - three,Three drivers fall asleep. Three drivers don't fall asleep.,tensor(-10.2058),tensor(-9.4707),tensor(-9.7535),1,tensor(-9.6958),tensor(-9.4485),tensor(-9.8616),1
171,Two sweaters had soaked.,Three sweaters had soaked.,1,2,negated implicature_P,target,numeral_two-three,two - three,Two sweaters had soaked. Three sweaters had soaked.,tensor(-11.2721),tensor(-9.8203),tensor(-10.4945),1,tensor(-9.9104),tensor(-8.5079),tensor(-8.9810),1
172,Two pedestrians don't question Margaret.,Three pedestrians don't question Margaret.,0,1,no_impl,target,numeral_two-three,two - three,Two pedestrians don't question Margaret. Three pedestrians don't question Margaret.,tensor(-10.7745),tensor(-9.6329),tensor(-9.3967),2,tensor(-10.1720),tensor(-9.1441),tensor(-8.7403),2
173,Robert has exited three museums.,Robert has exited two museums.,0,2,reverse negated implicature_P,target,numeral_two-three,two - three,Robert has exited three museums. Robert has exited two museums.,tensor(-10.3473),tensor(-10.0165),tensor(-9.6060),2,tensor(-9.9944),tensor(-10.7067),tensor(-9.6714),2
174,Doctors break two wheelbarrows.,Doctors don't break two wheelbarrows.,2,2,negation,control,numeral_two-three,two - three,Doctors break two wheelbarrows. Doctors don't break two wheelbarrows.,tensor(-10.7925),tensor(-9.8882),tensor(-9.5522),2,tensor(-10.6998),tensor(-9.2283),tensor(-8.8400),2
175,Two guys didn't drive to some cafes.,Three guys drove to some cafes.,2,2,opposite,control,numeral_two-three,two - three,Two guys didn't drive to some cafes. Three guys drove to some cafes.,tensor(-10.3508),tensor(-9.3504),tensor(-8.8241),2,tensor(-9.6093),tensor(-10.2263),tensor(-8.3573),2
176,This boy can't worry three schools.,This boy can't worry two schools.,1,1,no_impl,target,numeral_two-three,two - three,This boy can't worry three schools. This boy can't worry two schools.,tensor(-10.5150),tensor(-9.6629),tensor(-9.8405),1,tensor(-10.2389),tensor(-9.4545),tensor(-8.6720),2
177,Ronald observes three adults.,Ronald doesn't observe three adults.,2,2,negation,control,numeral_two-three,two - three,Ronald observes three adults. Ronald doesn't observe three adults.,tensor(-9.5726),tensor(-8.9308),tensor(-8.5782),2,tensor(-9.9557),tensor(-9.3705),tensor(-8.5049),2
178,Carolyn hadn't talked to two senators.,Carolyn had talked to three senators.,2,2,opposite,control,numeral_two-three,two - three,Carolyn hadn't talked to two senators. Carolyn had talked to three senators.,tensor(-11.5935),tensor(-10.3927),tensor(-10.5043),1,tensor(-11.4722),tensor(-10.3254),tensor(-9.1879),2
179,Russell hasn't researched three documentaries.,Russell has researched three documentaries.,2,2,negation,control,numeral_two-three,two - three,Russell hasn't researched three documentaries. Russell has researched three documentaries.,tensor(-10.6775),tensor(-9.4956),tensor(-10.0864),1,tensor(-10.0966),tensor(-8.9851),tensor(-8.4580),2
180,That bread resembles three paintings.,That bread resembles two paintings.,0,2,reverse negated implicature_P,target,numeral_two-three,two - three,That bread resembles three paintings. That bread resembles two paintings.,tensor(-10.4215),tensor(-9.0751),tensor(-9.4603),1,tensor(-9.6153),tensor(-8.6589),tensor(-8.7184),1
181,Renee returns to three men.,Renee doesn't return to three men.,2,2,negation,control,numeral_two-three,two - three,Renee returns to three men. Renee doesn't return to three men.,tensor(-10.7469),tensor(-9.3325),tensor(-9.7616),1,tensor(-10.3370),tensor(-8.4443),tensor(-8.0335),2
182,Three women have explained everything.,Two women have explained everything.,0,2,reverse negated implicature_P,target,numeral_two-three,two - three,Three women have explained everything. Two women have explained everything.,tensor(-11.2571),tensor(-9.9298),tensor(-9.7269),2,tensor(-10.8071),tensor(-9.8849),tensor(-9.2293),2
183,Those teachers didn't discover two pedestrians.,Those teachers didn't discover three pedestrians.,0,1,no_impl,target,numeral_two-three,two - three,Those teachers didn't discover two pedestrians. Those teachers didn't discover three pedestrians.,tensor(-10.8962),tensor(-9.8919),tensor(-9.6461),2,tensor(-10.8779),tensor(-9.7871),tensor(-9.4213),2
184,Three people persuaded that man to irritate Victoria.,Two people didn't persuade that man to irritate Victoria.,2,2,opposite,control,numeral_two-three,two - three,Three people persuaded that man to irritate Victoria. Two people didn't persuade that man to irritate Victoria.,tensor(-10.0202),tensor(-10.0727),tensor(-9.7339),2,tensor(-10.1162),tensor(-9.6001),tensor(-9.2523),2
185,Three hospitals described Ann.,Two hospitals didn't describe Ann.,2,2,opposite,control,numeral_two-three,two - three,Three hospitals described Ann. Two hospitals didn't describe Ann.,tensor(-11.1740),tensor(-9.9177),tensor(-9.8384),2,tensor(-9.9244),tensor(-9.0255),tensor(-9.6486),1
186,Renee doesn't return to two men.,Renee doesn't return to three men.,0,1,no_impl,target,numeral_two-three,two - three,Renee doesn't return to two men. Renee doesn't return to three men.,tensor(-10.8452),tensor(-9.0767),tensor(-9.3841),1,tensor(-10.4465),tensor(-9.1466),tensor(-9.1365),2
187,The spinach didn't resemble three prints.,The spinach resembled two prints.,1,1,no_impl,target,numeral_two-three,two - three,The spinach didn't resemble three prints. The spinach resembled two prints.,tensor(-11.0421),tensor(-9.5293),tensor(-9.6554),1,tensor(-10.4780),tensor(-9.0056),tensor(-8.6812),2
188,Kenneth has concealed two movies.,Kenneth hasn't concealed three movies.,1,0,implicature_PtoN,target,numeral_two-three,two - three,Kenneth has concealed two movies. Kenneth hasn't concealed three movies.,tensor(-10.2473),tensor(-9.4513),tensor(-9.1245),2,tensor(-9.8133),tensor(-9.9918),tensor(-8.5135),2
189,Horses are disgusting three organizations.,Horses are disgusting two organizations.,0,2,reverse negated implicature_P,target,numeral_two-three,two - three,Horses are disgusting three organizations. Horses are disgusting two organizations.,tensor(-10.2684),tensor(-8.6239),tensor(-9.7470),1,tensor(-9.4784),tensor(-7.4550),tensor(-8.5186),1
190,Windows have bored two actresses.,Windows have bored three actresses.,1,2,negated implicature_P,target,numeral_two-three,two - three,Windows have bored two actresses. Windows have bored three actresses.,tensor(-10.8759),tensor(-9.5156),tensor(-10.1074),1,tensor(-10.5920),tensor(-8.9718),tensor(-9.4075),1
191,Three dancers pressure a lot of adults to salute.,Two dancers pressure a lot of adults to salute.,0,2,reverse negated implicature_P,target,numeral_two-three,two - three,Three dancers pressure a lot of adults to salute. Two dancers pressure a lot of adults to salute.,tensor(-11.8139),tensor(-10.3012),tensor(-10.7730),1,tensor(-11.2186),tensor(-9.3333),tensor(-10.1604),1
192,This adult didn't climb up three hills.,This adult didn't climb up two hills.,1,1,no_impl,target,numeral_two-three,two - three,This adult didn't climb up three hills. This adult didn't climb up two hills.,tensor(-11.1357),tensor(-10.6029),tensor(-10.4403),2,tensor(-10.2902),tensor(-9.6179),tensor(-8.7200),2
193,Julia hadn't stunned three actors.,Julia hadn't stunned two actors.,1,1,no_impl,target,numeral_two-three,two - three,Julia hadn't stunned three actors. Julia hadn't stunned two actors.,tensor(-11.3962),tensor(-10.1428),tensor(-10.4692),1,tensor(-11.3258),tensor(-10.5011),tensor(-9.5302),2
194,Three men laughed.,Two men didn't laugh.,2,2,opposite,control,numeral_two-three,two - three,Three men laughed. Two men didn't laugh.,tensor(-10.9842),tensor(-9.4680),tensor(-9.6685),1,tensor(-10.0219),tensor(-8.9045),tensor(-9.1576),1
195,Alicia wasn't boycotting two hills.,Alicia was boycotting three hills.,2,2,opposite,control,numeral_two-three,two - three,Alicia wasn't boycotting two hills. Alicia was boycotting three hills.,tensor(-11.6587),tensor(-9.6851),tensor(-9.8263),1,tensor(-11.3857),tensor(-9.7152),tensor(-9.3241),2
196,Natalie might not kiss two actresses.,Natalie might kiss three actresses.,2,2,opposite,control,numeral_two-three,two - three,Natalie might not kiss two actresses. Natalie might kiss three actresses.,tensor(-11.5348),tensor(-9.6760),tensor(-10.2018),1,tensor(-10.8457),tensor(-9.0109),tensor(-9.6569),1
197,Two students telephone.,Two students don't telephone.,2,2,negation,control,numeral_two-three,two - three,Two students telephone. Two students don't telephone.,tensor(-9.9428),tensor(-9.8825),tensor(-9.7238),2,tensor(-10.0106),tensor(-10.7289),tensor(-9.4022),2
198,Teachers can disgust three libraries.,Teachers can disgust two libraries.,0,2,reverse negated implicature_P,target,numeral_two-three,two - three,Teachers can disgust three libraries. Teachers can disgust two libraries.,tensor(-9.9078),tensor(-8.1297),tensor(-9.0591),1,tensor(-9.7860),tensor(-7.8526),tensor(-7.6944),2
199,The sketch was looking like two spotlights.,The sketch was looking like three spotlights.,1,2,negated implicature_P,target,numeral_two-three,two - three,The sketch was looking like two spotlights. The sketch was looking like three spotlights.,tensor(-10.6131),tensor(-9.0419),tensor(-9.5044),1,tensor(-9.9867),tensor(-8.3945),tensor(-9.1667),1
